Items in order,lemmatized_text
"1 x Mutton Seekh Pide, 1 x Chilli Cheese Garlic Bread",x mutton seekh pide x chilli cheese garlic bread
"1 x Peri Peri Grilled Chicken Pizza, 1 x Desi Chicken Pepperoni Pizza",x peri peri grilled chicken pizza x desi chicken pepperoni pizza
"1 x Malai Gud Pide, 1 x Peri Peri Paneer Pizza, 1 x Cheesy Garlic Bread, 1 x Bageecha Pizza",x malai gud pide x peri peri paneer pizza x cheesy garlic bread x bageecha pizza
2 x OG Cheese Pide,x og cheese pide
2 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
2 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Jamaican Chicken Melt, 1 x Chicken Pepperoni Pizza",x jamaican chicken melt x chicken pepperoni pizza
"1 x Bageecha Pizza, 1 x Tripple Cheese Pizza",x bageecha pizza x tripple cheese pizza
1 x Angara Paneer Melt,x angara paneer melt
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
"1 x Mushroom Pizza, 1 x Murgh Amritsari Garlic Bread",x mushroom pizza x murgh amritsari garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x Angara Paneer Melt",x chilli cheese garlic bread x angara paneer melt
"1 x Murgh Amritsari Seekh Melt, 1 x Fried Chicken Strips",x murgh amritsari seekh melt x fried chicken strip
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender, 2 x AAC Special Slaw",x grilled chicken angara tender x grilled chicken peri peri tender x aac special slaw
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries, 1 x Fried Chicken Classic Tenders + AAC Signature Fries",x fried chicken peri peri tender peri peri fry x fried chicken classic tender aac signature fry
"1 x Animal Fries, 1 x Bone in Peri Peri Grilled Chicken",x animal fry x bone peri peri grilled chicken
3 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Salted Fries, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries, 1 x Bone in Jamaican Grilled Chicken",x salted fry x fried chicken peri peri tender peri peri fry x bone jamaican grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
"1 x Animal Fries, 1 x Angara Aloo Tuk Tuki",x animal fry x angara aloo tuk tuki
"1 x Grilled Chicken Jamaican Tangdi, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Angara Tangdi",x grilled chicken jamaican tangdi x bone smoky bbq grilled chicken x grilled chicken angara tangdi
"1 x Bone in Jamaican Grilled Chicken, 1 x AAC Signature Crisper Fries, 1 x Bone in Peri Peri Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender",x bone jamaican grilled chicken x aac signature crisper fry x bone peri peri grilled chicken x fried chicken ghostbuster tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Angara Aloo Tuk Tuki, 1 x Iced Green Tea - Mojito, 1 x Animal Fries",x bone peri peri grilled chicken x angara aloo tuk tuki x iced green tea mojito x animal fry
"1 x Grilled Chicken Angara Tender, 2 x AAC Special Slaw",x grilled chicken angara tender x aac special slaw
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Angara Tangdi",x bone smoky bbq grilled chicken x grilled chicken angara tangdi
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
1 x Grilled Chicken Angara Tangdi,x grilled chicken angara tangdi
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Fried Chicken Angara Tender,x fried chicken angara tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Salted Krispers",x bone jamaican grilled chicken x salted krispers
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Classic Tender",x fried chicken ghostbuster tender x fried chicken classic tender
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Kabuli Grilled Chicken",x grilled chicken peri peri tender x bone kabuli grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken, 1 x Onion Bombs, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Kabuli Grilled Chicken, 1 x AAC Special Slaw, 1 x Fried Chicken Classic Tender",x bone jamaican grilled chicken x bone peri peri grilled chicken x bone angara grilled chicken x onion bomb x grilled chicken smoky bbq tender x bone kabuli grilled chicken x aac special slaw x fried chicken classic tender
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
3 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Angara Rice, 2 x Bone in Peri Peri Grilled Chicken",x angara rice x bone peri peri grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Chicken 65 Grilled Chicken Tangdi (4pcs),x chicken grilled chicken tangdi
1 x Chicken 65 Grilled Chicken Tangdi (4pcs),x chicken grilled chicken tangdi
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Angara Aloo Tuk Tuki, 1 x Fried Chicken Angara Tender",x angara aloo tuk tuki x fried chicken angara tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone kabuli grilled chicken x bone jamaican grilled chicken x bone angara grilled chicken
"1 x Animal Fries, 1 x Grilled Chicken Jamaican Tender",x animal fry x grilled chicken jamaican tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Jamaican Tangdi,x grilled chicken jamaican tangdi
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Angara Grilled Chicken",x fried chicken peri peri tender x bone angara grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Harisa Mayo",x bone kabuli grilled chicken x harisa mayo
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Bone in Jamaican Grilled Chicken",x fried chicken angara tender x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x AAC Saucy Fries",x bone peri peri grilled chicken x aac saucy fry
"1 x Bone in Jamaican Grilled Chicken, 1 x AAC Signature Fries",x bone jamaican grilled chicken x aac signature fry
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Peri Peri Tender",x grilled chicken jamaican tender x fried chicken peri peri tender
1 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"2 x Bone in Smoky Bbq Grilled Chicken, 1 x Salted Fries",x bone smoky bbq grilled chicken x salted fry
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Animal Fries,x animal fry
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Animal Fries,x animal fry
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Peri Peri Tender, 1 x Peri Peri Fries",x bone smoky bbq grilled chicken x fried chicken peri peri tender x peri peri fry
"1 x Fried Chicken Kabuli Tender, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender",x fried chicken kabuli tender x bone smoky bbq grilled chicken x fried chicken ghostbuster tender
"1 x AAC Signature Fries, 1 x Bone in Smoky Bbq Grilled Chicken",x aac signature fry x bone smoky bbq grilled chicken
"1 x Grilled Chicken Jamaican Tangdi, 1 x Grilled Chicken Jamaican Tender, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken jamaican tangdi x grilled chicken jamaican tender x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x grilled chicken ghostbuster tangdi x bone jamaican grilled chicken
1 x Grilled Chicken Angara Tenders + Salted Fries,x grilled chicken angara tender salted fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Garlic Aioli, 1 x Bone in Smoky Bbq Grilled Chicken",x garlic aioli x bone smoky bbq grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Angara Aloo Tuk Tuki, 1 x Bone in Kabuli Grilled Chicken",x angara aloo tuk tuki x bone kabuli grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Grilled Chicken Smoky BBQ Tender, 1 x AAC Saucy Fries",x grilled chicken smoky bbq tender x aac saucy fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x AAC Signature Crisper Fries,x aac signature crisper fry
"2 x Salted Crisper Fries, 2 x AAC Grilled Chicken Burger",x salted crisper fry x aac grilled chicken burger
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone angara grilled chicken x bone kabuli grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Fried Chicken Kabuli Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken kabuli tender x fried chicken peri peri tender
"1 x Angara Grilled Paneer (8 pcs), 1 x Bone in Jamaican Grilled Chicken",x angara grilled paneer pc x bone jamaican grilled chicken
"2 x AAC Grilled Paneer Burger, 1 x Peri Peri Fries, 1 x AAC Grilled Chicken Burger",x aac grilled paneer burger x peri peri fry x aac grilled chicken burger
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Animal Fries",x fried chicken angara tender x animal fry
"1 x Fried Chicken Classic Tender, 1 x Bone in Jamaican Grilled Chicken",x fried chicken classic tender x bone jamaican grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone angara grilled chicken x bone smoky bbq grilled chicken
2 x Grilled Chicken Peri Peri Tangdi,x grilled chicken peri peri tangdi
"1 x Animal Fries, 1 x Fried Chicken Peri Peri Tender",x animal fry x fried chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Angara Rice, 1 x Bone in Kabuli Grilled Chicken",x bone smoky bbq grilled chicken x angara rice x bone kabuli grilled chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender",x grilled chicken jamaican tender x grilled chicken angara tender
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken ghostbuster tender x fried chicken peri peri tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Animal Fries",x grilled chicken peri peri tender x animal fry
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender",x fried chicken peri peri tender x fried chicken classic tender
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x AAC Fried Paneer Burger, 1 x Animal Fries",x aac fried paneer burger x animal fry
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone smoky bbq grilled chicken x bone kabuli grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x bone jamaican grilled chicken x fried chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Animal Fries",x bone jamaican grilled chicken x animal fry
2 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Garlic Aioli, 1 x AAC Special Slaw, 1 x Bone in Peri Peri Grilled Chicken",x garlic aioli x aac special slaw x bone peri peri grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken angara tender x fried chicken peri peri tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Peri Peri Tender, 1 x Angara Grilled Paneer (8 pcs)",x grilled chicken peri peri tender x angara grilled paneer pc
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Angara Grilled Paneer (8 pcs), 1 x Grilled Chicken Angara Tender, 1 x Bone in Jamaican Grilled Chicken, 1 x Angara Rice",x angara grilled paneer pc x grilled chicken angara tender x bone jamaican grilled chicken x angara rice
"1 x Fried Chicken Angara Tender, 1 x Onion Rings, 1 x Fried Chicken Peri Peri Tender",x fried chicken angara tender x onion ring x fried chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Smoky BBQ Sauce, 1 x Indian Honey Mustard sauce, 1 x Fried Chicken Classic Tender, 1 x Garlic Aioli, 1 x Fried Chicken Classic Tender, 1 x Onion Rings",x bone jamaican grilled chicken x smoky bbq sauce x indian honey mustard sauce x fried chicken classic tender x garlic aioli x fried chicken classic tender x onion ring
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Mayonnaise",x grilled chicken smoky bbq tender x grilled chicken jamaican tender x mayonnaise
"1 x Fried Chicken Peri Peri Tender, 1 x Harisa Mayo",x fried chicken peri peri tender x harisa mayo
"2 x Bone in Smoky Bbq Grilled Chicken, 2 x Fried Chicken Peri Peri Tender",x bone smoky bbq grilled chicken x fried chicken peri peri tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grilled chicken x bone jamaican grilled chicken
"2 x AAC Grilled Chicken Burger, 2 x Salted Crisper Fries",x aac grilled chicken burger x salted crisper fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Angara Tender",x bone jamaican grilled chicken x grilled chicken angara tender
2 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Kabuli Tender",x fried chicken angara tender x fried chicken kabuli tender
"1 x Fried Chicken Peri Peri Tender, 1 x Animal Fries",x fried chicken peri peri tender x animal fry
2 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Grilled Chicken Jamaican Tangdi, 1 x Grilled Chicken Peri Peri Tangdi",x grilled chicken jamaican tangdi x grilled chicken peri peri tangdi
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender",x grilled chicken jamaican tender x fried chicken angara tender
2 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"2 x Bone in Smoky Bbq Grilled Chicken, 2 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice",x bone smoky bbq grilled chicken x bone jamaican grilled chicken quarter angara rice
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tangdi",x bone kabuli grilled chicken x grilled chicken smoky bbq tangdi
1 x Grilled Chicken Jamaican Tangdi,x grilled chicken jamaican tangdi
2 x AAC Signature Crisper Fries,x aac signature crisper fry
"1 x Fried Chicken Angara Tender, 1 x Animal Fries",x fried chicken angara tender x animal fry
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone kabuli grilled chicken x bone smoky bbq grilled chicken
2 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender, 2 x Fried Chicken Peri Peri Tender",x grilled chicken jamaican tender x grilled chicken smoky bbq tender x fried chicken peri peri tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone peri peri grilled chicken x bone kabuli grilled chicken
"1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken quarter angara rice x bone angara grilled chicken
"1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Bone in Angara Grilled Chicken, 1 x Grilled Chicken Angara Tenders + Salted Fries, 1 x Bone in Jamaican Grilled Chicken",x bone jamaican grilled chicken quarter angara rice x bone angara grilled chicken x grilled chicken angara tender salted fry x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Angara Rice, 1 x Bone in Smoky Bbq Grilled Chicken",x angara rice x bone smoky bbq grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Grilled Chicken Peri Peri Tangdi,x grilled chicken peri peri tangdi
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x fried chicken peri peri tender x grilled chicken jamaican tender
1 x Grilled Chicken Tangdi Jamaican + Salted Krispers,x grilled chicken tangdi jamaican salted krispers
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Tipsy Tiger Ginger Ale, 1 x Grilled Chicken Angara Tender, 1 x Salted Fries, 1 x Grilled Chicken Peri Peri Tender, 1 x Tipsy Tiger Fresh Lime Soda",x grilled chicken jamaican tender x tipsy tiger ginger ale x grilled chicken angara tender x salted fry x grilled chicken peri peri tender x tipsy tiger fresh lime soda
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken peri peri tender x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken
"1 x AAC Signature Crisper Fries, 1 x Bone in Jamaican Grilled Chicken",x aac signature crisper fry x bone jamaican grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Onion Bombs, 1 x AAC Signature Fries",x bone kabuli grilled chicken x onion bomb x aac signature fry
"1 x Grilled Chicken Angara Tangdi, 1 x Grilled Chicken Peri Peri Tangdi, 1 x Bone in Smoky Bbq Grilled Chicken",x grilled chicken angara tangdi x grilled chicken peri peri tangdi x bone smoky bbq grilled chicken
"1 x Grilled Chicken Jamaican Tangdi, 1 x Fried Chicken Angara Tender, 1 x AAC Special Slaw",x grilled chicken jamaican tangdi x fried chicken angara tender x aac special slaw
"1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Salted Crisper Fries, 1 x AAC Special Slaw",x grilled chicken smoky bbq tangdi x salted crisper fry x aac special slaw
"1 x Grilled Chicken Jamaican Tender, 2 x AAC Signature Crisper Fries, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Angara Tender",x grilled chicken jamaican tender x aac signature crisper fry x grilled chicken peri peri tender x grilled chicken smoky bbq tender x grilled chicken angara tender
"1 x Bone in Kabuli Grilled Chicken, 1 x AAC Signature Crisper Fries",x bone kabuli grilled chicken x aac signature crisper fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
"1 x Salted Fries, 1 x Fried Chicken Kabuli Tender, 2 x Tipsy Tiger Ginger Ale, 1 x Fried Chicken Angara Tender",x salted fry x fried chicken kabuli tender x tipsy tiger ginger ale x fried chicken angara tender
"1 x GhostBuster Sauce, 1 x Bone in Jamaican Grilled Chicken",x ghostbuster sauce x bone jamaican grilled chicken
"1 x Tipsy Tiger Fresh Lime Soda, 1 x Fried Chicken Angara Tender",x tipsy tiger fresh lime soda x fried chicken angara tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Indian Pico De-Gallo",x bone jamaican grilled chicken x indian pico degallo
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Animal Fries, 1 x Onion Bombs",x animal fry x onion bomb
"1 x AAC Signature Fries, 1 x Bone in Jamaican Grilled Chicken",x aac signature fry x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken peri peri tender x fried chicken peri peri tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken peri peri tender x grilled chicken ghostbuster tangdi x grilled chicken smoky bbq tender
"1 x GhostBuster Sauce, 1 x Animal Fries, 1 x Jamaican Sauce, 1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x ghostbuster sauce x animal fry x jamaican sauce x bone jamaican grilled chicken x fried chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Grilled Chicken Jamaican Tender",x fried chicken ghostbuster tender x grilled chicken jamaican tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone jamaican grilled chicken x salted fry
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone peri peri grilled chicken x bone smoky bbq grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Angara Aloo Tuk Tuki",x fried chicken peri peri tender x grilled chicken jamaican tender x angara aloo tuk tuki
"1 x Salted Fries, 1 x Bone in Jamaican Grilled Chicken",x salted fry x bone jamaican grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken jamaican tender x grilled chicken smoky bbq tender
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken smoky bbq tangdi x grilled chicken smoky bbq tender
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x fried chicken peri peri tender x grilled chicken jamaican tender
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Peri Peri Fries, 1 x Fried Chicken Classic Tender, 1 x Fried Chicken Angara Tender",x peri peri fry x fried chicken classic tender x fried chicken angara tender
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Smoky Bbq Grilled Chicken",x grilled chicken jamaican tender x bone smoky bbq grilled chicken
"1 x Smoky BBQ Sauce, 1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Angara Tender",x smoky bbq sauce x fried chicken peri peri tender x fried chicken angara tender
1 x Peri Peri Fries,x peri peri fry
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Peri Peri Fries, 1 x Grilled Chicken Jamaican Tangdi",x peri peri fry x grilled chicken jamaican tangdi
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tangdi,x grilled chicken smoky bbq tangdi
1 x Animal Fries,x animal fry
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
"1 x Garlic Aioli, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x AAC Signature Fries, 1 x Jamaican Sauce",x garlic aioli x grilled chicken ghostbuster tangdi x aac signature fry x jamaican sauce
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
